date,Qty
1/1/2019,625
1/2/2019,625
1/3/2019,625
1/4/2019,625
1/5/2019,625
1/6/2019,625
1/7/2019,625
1/8/2019,625
1/9/2019,625
1/10/2019,625
1/11/2019,625
1/12/2019,625
1/13/2019,625
1/14/2019,625
1/15/2019,625
1/16/2019,625
1/17/2019,625
1/18/2019,625
1/19/2019,625
1/20/2019,625
1/21/2019,625
1/22/2019,625
1/23/2019,625
1/24/2019,625
1/25/2019,625
1/26/2019,625
1/27/2019,625
1/28/2019,625
1/29/2019,625
1/30/2019,625
1/31/2019,625
2/1/2019,625
2/2/2019,625
2/3/2019,625
2/4/2019,625
2/5/2019,625
2/6/2019,625
2/7/2019,625
2/8/2019,625
2/9/2019,625
2/10/2019,625
2/11/2019,625
2/12/2019,625
2/13/2019,625
2/14/2019,625
2/15/2019,625
2/16/2019,625
2/17/2019,625
2/18/2019,625
2/19/2019,625
2/20/2019,625
2/21/2019,625
2/22/2019,625
2/23/2019,625
2/24/2019,625
2/25/2019,625
2/26/2019,625
2/27/2019,625
2/28/2019,619
3/1/2019,619
3/2/2019,614
3/3/2019,614
3/4/2019,614
3/5/2019,614
3/6/2019,614
3/7/2019,614
3/8/2019,614
3/9/2019,614
3/10/2019,614
3/11/2019,614
3/12/2019,614
3/13/2019,614
3/14/2019,614
3/15/2019,614
3/16/2019,614
3/17/2019,614
3/18/2019,614
3/19/2019,614
3/20/2019,614
3/21/2019,614
3/22/2019,614
3/23/2019,614
3/24/2019,614
3/25/2019,614
3/26/2019,614
3/27/2019,614
3/28/2019,614
3/29/2019,614
3/30/2019,614
3/31/2019,614
4/1/2019,614
4/2/2019,614
4/3/2019,611
4/4/2019,611
4/5/2019,611
4/6/2019,607
4/7/2019,607
4/8/2019,607
4/9/2019,607
4/10/2019,607
4/11/2019,607
4/12/2019,607
4/13/2019,596
4/14/2019,596
4/15/2019,596
4/16/2019,596
4/17/2019,596
4/18/2019,596
4/19/2019,596
4/20/2019,596
4/21/2019,596
4/22/2019,596
4/23/2019,596
4/24/2019,596
4/25/2019,596
4/26/2019,596
4/27/2019,589
4/28/2019,589
4/29/2019,589
4/30/2019,589
5/1/2019,582
5/2/2019,582
5/3/2019,582
5/4/2019,581
5/5/2019,581
5/6/2019,581
5/7/2019,581
5/8/2019,581
5/9/2019,581
5/10/2019,581
5/11/2019,572
5/12/2019,572
5/13/2019,572
5/14/2019,572
5/15/2019,572
5/16/2019,572
5/17/2019,572
5/18/2019,565
5/19/2019,565
5/20/2019,565
5/21/2019,565
5/22/2019,565
5/23/2019,565
5/24/2019,565
5/25/2019,556
5/26/2019,556
5/27/2019,556
5/28/2019,556
5/29/2019,556
5/30/2019,556
5/31/2019,556
6/1/2019,549
6/2/2019,549
6/3/2019,549
6/4/2019,549
6/5/2019,549
6/6/2019,549
6/7/2019,549
6/8/2019,545
6/9/2019,545
6/10/2019,545
6/11/2019,545
6/12/2019,545
6/13/2019,545
6/14/2019,545
6/15/2019,542
6/16/2019,542
6/17/2019,542
6/18/2019,542
6/19/2019,542
6/20/2019,542
6/21/2019,542
6/22/2019,537
6/23/2019,537
6/24/2019,537
6/25/2019,537
6/26/2019,537
6/27/2019,537
6/28/2019,537
6/29/2019,537
6/30/2019,537
7/1/2019,537
7/2/2019,537
7/3/2019,537
7/4/2019,537
7/5/2019,537
7/6/2019,537
7/7/2019,537
7/8/2019,537
7/9/2019,537
7/10/2019,537
7/11/2019,537
7/12/2019,537
7/13/2019,535
7/14/2019,535
7/15/2019,535
7/16/2019,535
7/17/2019,535
7/18/2019,535
7/19/2019,535
7/20/2019,533
7/21/2019,533
7/22/2019,533
7/23/2019,533
7/24/2019,533
7/25/2019,533
7/26/2019,533
7/27/2019,533
7/28/2019,533
7/29/2019,533
7/30/2019,533
7/31/2019,533
8/1/2019,531
8/2/2019,531
8/3/2019,531
8/4/2019,531
8/5/2019,531
8/6/2019,531
8/7/2019,531
8/8/2019,531
8/9/2019,531
8/10/2019,531
8/11/2019,531
8/12/2019,531
8/13/2019,531
8/14/2019,531
8/15/2019,531
8/16/2019,531
8/17/2019,529
8/18/2019,529
8/19/2019,529
8/20/2019,528
8/21/2019,528
8/22/2019,528
8/23/2019,528
8/24/2019,528
8/25/2019,528
8/26/2019,528
8/27/2019,528
8/28/2019,528
8/29/2019,528
8/30/2019,528
8/31/2019,528
9/1/2019,527
9/2/2019,527
9/3/2019,527
9/4/2019,527
9/5/2019,526
9/6/2019,526
9/7/2019,526
9/8/2019,526
9/9/2019,526
9/10/2019,526
9/11/2019,526
9/12/2019,525
9/13/2019,525
9/14/2019,525
9/15/2019,525
9/16/2019,525
9/17/2019,525
9/18/2019,525
9/19/2019,522
9/20/2019,522
9/21/2019,522
9/22/2019,522
9/23/2019,522
9/24/2019,522
9/25/2019,521
9/26/2019,521
9/27/2019,521
9/28/2019,521
9/29/2019,521
9/30/2019,521
10/1/2019,521
10/2/2019,521
10/3/2019,521
10/4/2019,521
10/5/2019,521
10/6/2019,521
10/7/2019,521
10/8/2019,521
10/9/2019,521
10/10/2019,520
10/11/2019,520
10/12/2019,520
10/13/2019,520
10/14/2019,520
10/15/2019,520
10/16/2019,520
10/17/2019,520
10/18/2019,520
10/19/2019,520
10/20/2019,520
10/21/2019,520
10/22/2019,520
10/23/2019,520
10/24/2019,520
10/25/2019,520
10/26/2019,520
10/27/2019,520
10/28/2019,520
10/29/2019,520
10/30/2019,520
10/31/2019,520
11/1/2019,520
11/2/2019,520
11/3/2019,520
11/4/2019,520
11/5/2019,520
11/6/2019,520
11/7/2019,520
11/8/2019,520
11/9/2019,520
11/10/2019,520
11/11/2019,520
11/12/2019,520
11/13/2019,520
11/14/2019,520
11/15/2019,520
11/16/2019,520
11/17/2019,520
11/18/2019,520
11/19/2019,520
11/20/2019,520
11/21/2019,520
11/22/2019,520
11/23/2019,520
11/24/2019,520
11/25/2019,520
11/26/2019,520
11/27/2019,520
11/28/2019,520
11/29/2019,520
11/30/2019,520
12/1/2019,520
12/2/2019,520
12/3/2019,520
12/4/2019,520
12/5/2019,519
12/6/2019,519
12/7/2019,519
12/8/2019,519
12/9/2019,519
12/10/2019,519
12/11/2019,519
12/12/2019,519
12/13/2019,519
12/14/2019,519
12/15/2019,519
12/16/2019,519
12/17/2019,519
12/18/2019,519
12/19/2019,519
12/20/2019,519
12/21/2019,519
12/22/2019,519
12/23/2019,519
12/24/2019,519
12/25/2019,519
12/26/2019,519
12/27/2019,519
12/28/2019,519
12/29/2019,519
12/30/2019,519
12/31/2019,519
1/1/2020,519
1/2/2020,519
1/3/2020,519
1/4/2020,519
1/5/2020,519
1/6/2020,519
1/7/2020,519
1/8/2020,519
1/9/2020,519
1/10/2020,519
1/11/2020,519
1/12/2020,519
1/13/2020,519
1/14/2020,519
1/15/2020,519
1/16/2020,519
1/17/2020,519
1/18/2020,519
1/19/2020,519
1/20/2020,519
1/21/2020,519
1/22/2020,519
1/23/2020,519
1/24/2020,519
1/25/2020,519
1/26/2020,519
1/27/2020,519
1/28/2020,519
1/29/2020,519
1/30/2020,519
1/31/2020,519
2/1/2020,519
2/2/2020,519
2/3/2020,519
2/4/2020,519
2/5/2020,519
2/6/2020,519
2/7/2020,519
2/8/2020,519
2/9/2020,519
2/10/2020,519
2/11/2020,519
2/12/2020,519
2/13/2020,519
2/14/2020,519
2/15/2020,519
2/16/2020,519
2/17/2020,519
2/18/2020,519
2/19/2020,519
2/20/2020,515
2/21/2020,515
2/22/2020,515
2/23/2020,515
2/24/2020,515
2/25/2020,515
2/26/2020,515
2/27/2020,514
2/28/2020,514
2/29/2020,514
3/1/2020,514
3/2/2020,514
3/3/2020,514
3/4/2020,514
3/5/2020,513
3/6/2020,507
3/7/2020,507
3/8/2020,507
3/9/2020,507
3/10/2020,507
3/11/2020,507
3/12/2020,507
3/13/2020,507
3/14/2020,507
3/15/2020,507
3/16/2020,507
3/17/2020,507
3/18/2020,507
3/19/2020,506
3/20/2020,506
3/21/2020,506
3/22/2020,506
3/23/2020,506
3/24/2020,506
3/25/2020,506
3/26/2020,505
3/27/2020,505
3/28/2020,505
3/29/2020,505
3/30/2020,505
3/31/2020,505
4/1/2020,505
4/2/2020,506
4/3/2020,506
4/4/2020,506
4/5/2020,506
4/6/2020,506
4/7/2020,506
4/8/2020,506
4/9/2020,506
4/10/2020,506
4/11/2020,506
4/12/2020,506
4/13/2020,506
4/14/2020,506
4/15/2020,506
4/16/2020,506
4/17/2020,506
4/18/2020,506
4/19/2020,506
4/20/2020,506
4/21/2020,506
4/22/2020,506
4/23/2020,506
4/24/2020,506
4/25/2020,506
4/26/2020,506
4/27/2020,506
4/28/2020,506
4/29/2020,506
4/30/2020,506
5/1/2020,504
5/2/2020,504
5/3/2020,504
5/4/2020,504
5/5/2020,504
5/6/2020,504
5/7/2020,504
5/8/2020,504
5/9/2020,504
5/10/2020,504
5/11/2020,504
5/12/2020,504
5/13/2020,504
5/14/2020,502
5/15/2020,502
5/16/2020,502
5/17/2020,502
5/18/2020,502
5/19/2020,502
5/20/2020,502
5/21/2020,500
5/22/2020,500
5/23/2020,501
5/24/2020,501
5/25/2020,501
5/26/2020,501
5/27/2020,498
5/28/2020,497
5/29/2020,497
5/30/2020,497
5/31/2020,497
6/1/2020,497
6/2/2020,497
6/3/2020,497
6/4/2020,497
6/5/2020,497
6/6/2020,497
6/7/2020,497
6/8/2020,497
6/9/2020,497
6/10/2020,497
6/11/2020,495
6/12/2020,495
6/13/2020,495
6/14/2020,495
6/15/2020,495
6/16/2020,495
6/17/2020,495
6/18/2020,492
6/19/2020,492
6/20/2020,492
6/21/2020,492
6/22/2020,492
6/23/2020,492
6/24/2020,492
6/25/2020,490
6/26/2020,490
6/27/2020,490
6/28/2020,490
6/29/2020,490
6/30/2020,490
7/1/2020,486
7/2/2020,486
7/3/2020,480
7/4/2020,480
7/5/2020,480
7/6/2020,480
7/7/2020,480
7/8/2020,480
7/9/2020,477
7/10/2020,477
7/11/2020,477
7/12/2020,477
7/13/2020,477
7/14/2020,477
7/15/2020,477
7/16/2020,473
7/17/2020,473
7/18/2020,473
7/19/2020,473
7/20/2020,473
7/21/2020,473
7/22/2020,473
7/23/2020,472
7/24/2020,472
7/25/2020,472
7/26/2020,472
7/27/2020,472
7/28/2020,472
7/29/2020,472
7/30/2020,466
7/31/2020,466
8/1/2020,465
8/2/2020,465
8/3/2020,465
8/4/2020,465
8/5/2020,465
8/6/2020,459
8/7/2020,459
8/8/2020,459
8/9/2020,459
8/10/2020,459
8/11/2020,459
8/12/2020,459
8/13/2020,452
8/14/2020,448
8/15/2020,448
8/16/2020,448
8/17/2020,448
8/18/2020,448
8/19/2020,448
8/20/2020,443
8/21/2020,443
8/22/2020,443
8/23/2020,443
8/24/2020,443
8/25/2020,443
8/26/2020,443
8/27/2020,435
8/28/2020,435
8/29/2020,435
8/30/2020,435
8/31/2020,435
9/1/2020,429
9/2/2020,429
9/3/2020,426
9/4/2020,426
9/5/2020,426
9/6/2020,426
9/7/2020,426
9/8/2020,426
9/9/2020,426
9/10/2020,422
9/11/2020,422
9/12/2020,422
9/13/2020,422
9/14/2020,422
9/15/2020,423
9/16/2020,423
9/17/2020,422
9/18/2020,422
9/19/2020,422
9/20/2020,422
9/21/2020,422
9/22/2020,422
9/23/2020,422
9/24/2020,417
9/25/2020,417
9/26/2020,417
9/27/2020,417
9/28/2020,417
9/29/2020,417
9/30/2020,417
10/1/2020,415
10/2/2020,415
10/3/2020,415
10/4/2020,415
10/5/2020,415
10/6/2020,415
10/7/2020,415
10/8/2020,414
10/9/2020,414
10/10/2020,414
10/11/2020,414
10/12/2020,414
10/13/2020,414
10/14/2020,414
10/15/2020,409
10/16/2020,409
10/17/2020,409
10/18/2020,409
10/19/2020,409
10/20/2020,409
10/21/2020,409
10/22/2020,406
10/23/2020,406
10/24/2020,404
10/25/2020,404
10/26/2020,404
10/27/2020,404
10/28/2020,404
10/29/2020,404
10/30/2020,404
10/31/2020,404
11/1/2020,404
11/2/2020,404
11/3/2020,404
11/4/2020,404
11/5/2020,404
11/6/2020,404
11/7/2020,404
11/8/2020,404
11/9/2020,404
11/10/2020,404
11/11/2020,404
11/12/2020,403
11/13/2020,399
11/14/2020,399
11/15/2020,399
11/16/2020,399
11/17/2020,397
11/18/2020,397
11/19/2020,396
11/20/2020,396
11/21/2020,396
11/22/2020,396
11/23/2020,396
11/24/2020,396
11/25/2020,396
11/26/2020,395
11/27/2020,395
11/28/2020,395
11/29/2020,395
11/30/2020,395
12/1/2020,394
12/2/2020,394
12/3/2020,394
12/4/2020,394
12/5/2020,394
12/6/2020,394
12/7/2020,394
12/8/2020,394
12/9/2020,394
12/10/2020,394
12/11/2020,394
12/12/2020,394
12/13/2020,394
12/14/2020,394
12/15/2020,394
12/16/2020,394
12/17/2020,394
12/18/2020,394
12/19/2020,394
12/20/2020,394
12/21/2020,394
12/22/2020,394
12/23/2020,394
12/24/2020,394
12/25/2020,394
12/26/2020,394
12/27/2020,394
12/28/2020,394
12/29/2020,394
12/30/2020,394
12/31/2020,394
1/1/2021,394
1/2/2021,394
1/3/2021,394
1/4/2021,394
1/5/2021,394
1/6/2021,394
1/7/2021,392
1/8/2021,392
1/9/2021,392
1/10/2021,392
1/11/2021,392
1/12/2021,392
1/13/2021,392
1/14/2021,392
1/15/2021,392
1/16/2021,392
1/17/2021,392
1/18/2021,392
1/19/2021,392
1/20/2021,392
1/21/2021,392
1/22/2021,392
1/23/2021,392
1/24/2021,391
1/25/2021,391
1/26/2021,391
1/27/2021,391
1/28/2021,391
1/29/2021,391
1/30/2021,391
1/31/2021,391
2/1/2021,391
2/2/2021,391
2/3/2021,391
2/4/2021,391
2/5/2021,391
2/6/2021,391
2/7/2021,391
2/8/2021,391
2/9/2021,391
2/10/2021,391
2/11/2021,391
2/12/2021,391
2/13/2021,391
2/14/2021,391
2/15/2021,391
2/16/2021,391
2/17/2021,391
2/18/2021,388
2/19/2021,388
2/20/2021,388
2/21/2021,388
2/22/2021,388
2/23/2021,388
2/24/2021,388
2/25/2021,388
2/26/2021,388
2/27/2021,388
2/28/2021,388
3/1/2021,388
3/2/2021,388
3/3/2021,388
3/4/2021,388
3/5/2021,388
3/6/2021,388
3/7/2021,387
3/8/2021,387
3/9/2021,387
3/10/2021,387
3/11/2021,387
3/12/2021,387
3/13/2021,377
3/14/2021,377
3/15/2021,377
3/16/2021,377
3/17/2021,377
3/18/2021,377
3/19/2021,377
3/20/2021,377
3/21/2021,376
3/22/2021,376
3/23/2021,376
3/24/2021,376
3/25/2021,376
3/26/2021,376
3/27/2021,376
3/28/2021,372
3/29/2021,372
3/30/2021,372
3/31/2021,372
4/1/2021,371
4/2/2021,371
4/3/2021,371
4/4/2021,368
4/5/2021,368
4/6/2021,367
4/7/2021,367
4/8/2021,367
4/9/2021,367
4/10/2021,367
4/11/2021,365
4/12/2021,365
4/13/2021,365
4/14/2021,365
4/15/2021,365
4/16/2021,363
4/17/2021,363
4/18/2021,355
4/19/2021,355
4/20/2021,355
4/21/2021,355
4/22/2021,355
4/23/2021,355
4/24/2021,356
4/25/2021,342
4/26/2021,342
4/27/2021,342
4/28/2021,342
4/29/2021,342
4/30/2021,342
5/1/2021,341
5/2/2021,341
5/3/2021,341
5/4/2021,341
5/5/2021,341
5/6/2021,341
5/7/2021,341
5/8/2021,341
5/9/2021,341
5/10/2021,341
5/11/2021,341
5/12/2021,341
5/13/2021,341
5/14/2021,335
5/15/2021,335
5/16/2021,331
5/17/2021,331
5/18/2021,331
5/19/2021,331
5/20/2021,331
5/21/2021,331
5/22/2021,331
5/23/2021,301
5/24/2021,301
5/25/2021,301
5/26/2021,301
5/27/2021,302
5/28/2021,302
5/29/2021,302
5/30/2021,302
5/31/2021,302
6/1/2021,263
6/2/2021,263
6/3/2021,263
6/4/2021,263
6/5/2021,263
6/6/2021,263
6/7/2021,263
6/8/2021,263
6/9/2021,263
6/10/2021,263
6/11/2021,263
6/12/2021,263
6/13/2021,163
6/14/2021,163
6/15/2021,163
6/16/2021,164
6/17/2021,164
6/18/2021,164
6/19/2021,165
6/20/2021,165
6/21/2021,165
6/22/2021,164
6/23/2021,104
6/24/2021,104
6/25/2021,104
6/26/2021,104
6/27/2021,104
6/28/2021,104
6/29/2021,96
6/30/2021,96
7/1/2021,97
7/2/2021,97
7/3/2021,97
7/4/2021,97
7/5/2021,97
7/6/2021,97
7/7/2021,97
7/8/2021,98
7/9/2021,98
7/10/2021,98
7/11/2021,98
7/12/2021,98
7/13/2021,98
7/14/2021,98
7/15/2021,98
7/16/2021,98
7/17/2021,98
7/18/2021,98
7/19/2021,98
7/20/2021,98
7/21/2021,98
7/22/2021,98
7/23/2021,98
7/24/2021,98
7/25/2021,98
7/26/2021,98
7/27/2021,98
7/28/2021,98
7/29/2021,98
7/30/2021,98
7/31/2021,98
8/1/2021,98
8/2/2021,98
8/3/2021,98
8/4/2021,98
8/5/2021,98
8/6/2021,98
8/7/2021,98
8/8/2021,98
8/9/2021,98
8/10/2021,98
8/11/2021,98
8/12/2021,98
8/13/2021,98
8/14/2021,98
8/15/2021,98
